dia_semana,br,km,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,latitude,longitude,delegacia,classificacao_acidente,postos_policiais_PRF
domingo,BR-365,361.7,Pleno dia,Crescente,Céu Claro,Simples,Curva,-18.50801,-46.12129,DEL10-MG,Risco Médio,Média
domingo,BR-101,723.0,Pleno dia,Decrescente,Céu Claro,Simples,Reta,-16.40793,-39.58786,DEL09-BA,Risco Baixo,Alta
domingo,BR-116,284.0,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,-23.69998,-46.86777,DEL04-SP,Risco Médio,Alta
segunda-feira,BR-277,116.0,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,-25.44728,-49.50939,DEL01-PR,Risco Médio,Média
quarta-feira,BR-290,55.3,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,-29.9134,-50.80843,DEL03-RS,Risco Médio,Baixa
quinta-feira,BR-277,355.0,Amanhecer,Decrescente,Nublado,Simples,Retorno Regulamentado,-25.41568,-51.56633,DEL03-PR,Risco Baixo,Média
quarta-feira,BR-116,304.0,Pleno dia,Decrescente,Chuva,Dupla,Curva,-23.87202,-46.96381,DEL04-SP,Risco Baixo,Alta
sexta-feira,BR-40,7.5,Plena Noite,Crescente,Céu Claro,Dupla,Reta,-16.10898,-47.97232,DEL01-DF,Risco Médio,Alta
sábado,BR-153,2.0,Plena Noite,Decrescente,Nublado,Simples,Não Informado,-6.424306,-48.53619,DEL02-TO,Risco Médio,Alta
quinta-feira,BR-101,82.7,Pleno dia,Crescente,Céu Claro,Dupla,Não Informado,-8.175119,-34.94281,DEL01-PE,Risco Médio,Alta
domingo,BR-230,310.0,Plena Noite,Decrescente,Céu Claro,Simples,Ponte,-6.767356,-43.02285,DEL03-PI,Risco Médio,Baixa
domingo,BR-101,139.4,Plena Noite,Decrescente,Nublado,Dupla,Reta,-27.02982,-48.60115,DEL04-SC,Risco Médio,Alta
