concessionaria;nome_posto_prf;ano_do_pnv_snv;rodovia;uf;km_m;municipio;tipo_pista;sentido;situacao;data_da_inativacao;latitude;longitude
AUTOPISTA FERNÃO DIAS;PRF ATIBAIA F6-32;2007;BR-381;SP;47,399;Atibaia;Principal;Crescente;Ativo;;-23,191350;-46,585265
AUTOPISTA FERNÃO DIAS;PRF VARGEM F6-31;2007;BR-381;SP;8,880;Vargem;Principal;Decrescente;Ativo;;-22,917532;-46,431892
AUTOPISTA FERNÃO DIAS;PRF ITAPEVA;2007;BR-381;MG;926,318;Itapeva;Principal;Crescente/Decrescente;Ativo;;-22,768579;-46,210070
AUTOPISTA FERNÃO DIAS;PRF POUSO ALEGRE;2007;BR-381;MG;871,060;Pouso Alegre;Principal;Crescente/Decrescente;Ativo;;-22,397376;-45,959924
AUTOPISTA FERNÃO DIAS;PRF TRÊS CORAÇÕES;2007;BR-381;MG;758,460;Três Corações;Principal;Crescente/Decrescente;Ativo;;-21,690201;-45,349674
AUTOPISTA FERNÃO DIAS;PRF PERDÕES;2007;BR-381;MG;679,044;Perdões;Principal;Crescente/Decrescente;Ativo;;-21,120093;-45,095727
AUTOPISTA FERNÃO DIAS;PRF OLIVEIRA;2007;BR-381;MG;608,900;Oliveira;Principal;Crescente/Decrescente;Ativo;;-20,669336;-44,738065
AUTOPISTA FERNÃO DIAS;PRF ITAIAIUÇU;2007;BR-381;MG;537,700;Itatiaiuçu;Principal;Crescente/Decrescente;Ativo;;-20,209054;-44,390488
AUTOPISTA FERNÃO DIAS;PRF BETIM;2007;BR-381;MG;499,175;Betim;Principal;Crescente/Decrescente;Ativo;;-19,996602;-44,209103
AUTOPISTA FLUMINENSE;UOP 01 da 5ª DEL;2019;BR-101;RJ;27,800;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,447613;-41,343120
AUTOPISTA FLUMINENSE;UOP 02 da 5ª DEL;2019;BR-101;RJ;78,150;Campos dos Goytacazes;Principal;Decrescente;Ativo;;-21,835839;-41,420620
AUTOPISTA FLUMINENSE;UOP 04 da 2ª DEL;2019;BR-101;RJ;203,370;Casimiro de Abreu;Principal;Crescente;Ativo;;-22,475444;-42,172346
AUTOPISTA FLUMINENSE;UOP 03 da 2ª DEL;2019;BR-101;RJ;269,050;Rio Bonito;Principal;Crescente;Ativo;;-22,715042;-42,679022
AUTOPISTA FLUMINENSE;UOP 02 da 2ª DEL;2019;BR-101;RJ;308,070;São Gonçalo;Principal;Crescente;Ativo;;-22,792949;-43,024864
AUTOPISTA LITORAL SUL;EDF 101 SC 025+800 S 1;2009;BR-101;SC;25,800;Joinville;Principal;Crescente;Ativo;;-26,190284;-48,912050
AUTOPISTA LITORAL SUL;EDF 101 SC 081+600 S 1;2009;BR-101;SC;81,600;Barra Velha;Principal;Crescente;Ativo;;-26,610073;-48,722579
AUTOPISTA LITORAL SUL;EDF 101 SC 143+200 N 1;2009;BR-101;SC;143,200;Itapema;Principal;Decrescente;Ativo;;-27,065953;-48,595563
