track_id,track_name,track_artist,playlist_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
6f807x0ima9a1j3VPbc7VN,I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,Pop Remix,0.748,0.916,-2.634,0.0583,0.102,0.0,0.0653,0.518,122.036,4
0r7CVbZTWZgbTCYdfa2P31,Memories - Dillon Francis Remix,Maroon 5,Pop Remix,0.726,0.815,-4.969,0.0373,0.0724,0.00421,0.357,0.693,99.972,4
1z1Hg7Vb0AhHDiEmnDE79l,All the Time - Don Diablo Remix,Zara Larsson,Pop Remix,0.675,0.931,-3.432,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,4
75FpbthrwQmzHlBJLuGdC7,Call You Mine - Keanu Silva Remix,The Chainsmokers,Pop Remix,0.718,0.93,-3.778,0.102,0.0287,9.43e-06,0.204,0.277,121.956,2
1e8PAfcKUYoKkxPhrHqw4x,Someone You Loved - Future Humans Remix,Lewis Capaldi,Pop Remix,0.65,0.833,-4.672,0.0359,0.0803,0.0,0.0833,0.725,123.976,4
7fvUMiyapMsRRxr07cU8Ef,Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,Pop Remix,0.675,0.919,-5.385,0.127,0.0799,0.0,0.143,0.585,124.982,4
2OAylPUDDfwRGfe0lYqlCQ,Never Really Over - R3HAB Remix,Katy Perry,Pop Remix,0.449,0.856,-4.788,0.0623,0.187,0.0,0.176,0.152,112.648,2
6b1RNvAcJjQH73eZO4BLAB,Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,Pop Remix,0.542,0.903,-2.419,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,2
7bF6tCO3gFb8INrEDcjNT5,Tough Love - Tiësto Remix / Radio Edit,Avicii,Pop Remix,0.594,0.935,-3.562,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,1
1IXGILkPm0tOCNeq00kCPa,If I Can't Have You - Gryffin Remix,Shawn Mendes,Pop Remix,0.642,0.818,-4.552,0.032,0.0567,0.0,0.0919,0.59,124.957,4
3eFJI470ALf1EYjywPRsJy,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,Pop Remix,0.679,0.923,-6.5,0.181,0.146,4.92e-06,0.124,0.752,121.984,4
3iJeF2izF1QcpCgUc97BLl,Hate Me - R3HAB Remix,Ellie Goulding,Pop Remix,0.437,0.774,-4.918,0.0554,0.148,0.0,0.133,0.329,123.125,2
6e0CvGZf7CouOpYF8toXHC,Body On My,Loud Luxury,Pop Remix,0.744,0.726,-4.675,0.0463,0.0399,0.0,0.374,0.687,121.985,4
3eLdNmnRWr9gIyBcqTSSti,SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,Pop Remix,0.572,0.915,-4.451,0.0625,0.0111,0.0,0.339,0.678,123.919,2
55nMnifaQWKe3f9cbwOXwx,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,Pop Remix,0.69,0.78,-4.446,0.0594,0.00733,0.00183,0.0729,0.238,126.07,2
1EJgymgJHcjSOGSHcYaxvW,South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,Pop Remix,0.805,0.835,-4.603,0.0896,0.13,5.03e-06,0.365,0.722,125.028,4
5WaXMQMlQpq8pwIdaFP43L,All My Friends - Eden Prince Remix,AJ Mitchell,Pop Remix,0.694,0.901,-4.322,0.0948,0.0702,0.0,0.427,0.368,118.051,1
3TjLsDgL0bTbSQIF6M5Ki8,Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,Pop Remix,0.678,0.747,-5.289,0.165,0.0395,0.0,0.174,0.516,120.002,4
0GfS3y8Jd7SHWd9R51s7Fo,Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,Pop Remix,0.746,0.557,-6.722,0.0542,0.103,0.0036,0.138,0.324,111.961,4
2v3DuCVBbopteJqdM7aKQK,Let It Be Me - Sondr Remix,Steve Aoki,Pop Remix,0.467,0.821,-5.466,0.0934,0.00791,0.000441,0.131,0.232,122.676,2
4QAUGy6k7c3IOAhgWz52r7,Heaven - David Guetta & MORTEN Remix,Avicii,Pop Remix,0.572,0.934,-5.053,0.0446,0.00292,0.0198,0.105,0.204,125.948,2
3Ciaf6WgvG95TGRGxQ1yO8,All Around The World (La La La) - Marnik Remix,R3HAB,Pop Remix,0.708,0.913,-4.329,0.0348,0.089,0.081,0.113,0.707,135.016,4
1mC2UjWt25Oixtqu7C6suL,Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,Pop Remix,0.684,0.818,-4.477,0.128,0.0469,3.39e-06,0.119,0.336,123.938,2
2wenGTypSYHXl1sN1pNC7X,Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,Pop Remix,0.732,0.85,-5.999,0.0444,0.114,2.02e-06,0.0388,0.372,124.024,2
4sqABRRGU7CzcHXCyxUzFw,Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,Pop Remix,0.62,0.889,-3.785,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,2
5dy3WUywjZcalTno1io8TQ,Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,Pop Remix,0.675,0.76,-7.037,0.0434,0.104,0.0,0.33,0.468,124.933,2
2M9GeaCQXrV12J0wzBxIwi,One Thing Right - Firebeatz Remix,Marshmello,Pop Remix,0.682,0.851,-7.117,0.0363,0.0146,0.000834,0.0289,0.348,126.0,2
1zzOMDmkRZy0g9f4JTAZKn,Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,Pop Remix,0.663,0.905,-3.781,0.0511,0.0325,0.0,0.333,0.397,125.996,2
4OFFY6L5ywYM1TwhXX69wQ,So Am I - Toby Green Remix,Ava Max,Pop Remix,0.625,0.938,-3.983,0.0517,0.00432,0.00026,0.0923,0.371,127.997,2
1hr5Y2i4NlE3LPvQZ9Q5Ao,When You Leave - Breathe Carolina Remix,Nikki Vianna,Pop Remix,0.679,0.909,-2.929,0.105,0.0334,0.0,0.269,0.819,119.885,4
1aT7vltGhkjyMI3F3aO3A4,Mother - Fedde Le Grand Remix,Charlie Puth,Pop Remix,0.641,0.869,-4.754,0.0423,0.0319,0.00131,0.403,0.358,128.091,2
